Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.8515032220457
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,448.870903352713
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,29.4777460495709
Angola,AGO,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.85798570477976
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,35.1292267229987
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93316
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,21494.5474000727
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.4500156687422
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,212.081818181818
Antigua and Barbuda,ATG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.44832611770758
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,18.9871150486925
Arab World,ARB,"Population, total",SP.POP.TOTL,482105978
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,7513.89907880749
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.569940800309
Arab World,ARB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1802.87198361075
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,..
Arab World,ARB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.70982269867487
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,44.6115100409235
Argentina,ARG,"Population, total",SP.POP.TOTL,45538401
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,14261.8465667948
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.1945132257907
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1763.50879742948
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.6399559321662
Argentina,ARG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,8.29353889698499
